date,last_sentiment,last_pct_change,sentiment,pct_change,label
2016-04-01,0.0,0.017459112630849462,0.0,-0.005202626027071399,1.0
2016-04-04,456790.0,-0.005202626027071399,456790.0,0.009175153863659448,1.0
2016-04-05,283225.0,0.009175153863659448,283225.0,0.010273705834707731,-1.0
2016-04-06,456754.0,0.010273705834707731,456754.0,-0.011789103272215102,1.0
2016-04-07,429066.0,-0.011789103272215102,429066.0,0.010472648679053785,-1.0
2016-04-08,354151.0,0.010472648679053785,354151.0,-0.02180964481716509,1.0
2016-04-11,235948.0,-0.02180964481716509,235948.0,0.0011056084906008515,1.0
2016-04-12,216270.0,0.0011056084906008515,216270.0,0.0033130219843952,1.0
2016-04-13,410676.0,0.0033130219843952,410676.0,0.013025186590208496,1.0
2016-04-14,186318.0,0.013025186590208496,186318.0,0.014487490390721154,1.0
2016-04-15,-17928.0,0.014487490390721154,-17928.0,0.0005355012326265973,-1.0
2016-04-18,-257788.0,0.0005355012326265973,-257788.0,-0.020071365126016705,-1.0
2016-04-19,-52899.0,-0.020071365126016705,-52899.0,-0.02157483067918142,-1.0
2016-04-20,41679.0,-0.02157483067918142,41679.0,-0.005303309239126924,1.0
2016-04-21,94398.0,-0.005303309239126924,94398.0,0.0020577456156851952,-1.0
2016-04-22,26063.0,0.0020577456156851952,26063.0,-0.010827929267755434,-1.0
2016-04-25,1258.0,-0.010827929267755434,1258.0,-0.002736632180680648,-1.0
2016-04-26,-80538.0,-0.002736632180680648,-80538.0,-0.005677502577483512,-1.0
2016-04-27,-125189.0,-0.005677502577483512,-125189.0,-0.006947119758403479,-1.0
2016-04-28,152573.0,-0.006947119758403479,152573.0,-0.06257785217808433,-1.0
2016-04-29,28736.0,-0.06257785217808433,28736.0,-0.030566324607418045,-1.0
2016-05-02,-98118.0,-0.030566324607418045,-98118.0,-0.011494294487382416,-1.0
2016-05-03,290276.0,-0.011494294487382416,290276.0,-0.0010667642031144437,1.0
2016-05-04,223382.0,-0.0010667642031144437,223382.0,0.016445973147855286,-1.0
2016-05-05,330128.0,0.016445973147855286,330128.0,-0.010401322342879802,-1.0
2016-05-06,369318.0,-0.010401322342879802,369318.0,-0.010086044728873408,-1.0
2016-05-09,13665.0,-0.010086044728873408,13665.0,-0.005576969701631262,1.0
2016-05-10,566082.0,-0.005576969701631262,566082.0,0.0007549578721164724,1.0
2016-05-11,566912.0,0.0007549578721164724,566912.0,0.006789495066300252,-1.0
2016-05-12,275554.0,0.006789495066300252,275554.0,-0.00974091255139143,-1.0
2016-05-13,652931.0,-0.00974091255139143,652931.0,-0.023456985712142647,1.0
2016-05-16,64852.0,-0.023456985712142647,64852.0,0.001992476339079561,1.0
2016-05-17,561719.0,0.001992476339079561,561719.0,0.03711887687756482,-1.0
2016-05-18,358185.0,0.03711887687756482,358185.0,-0.004154233074759047,1.0
2016-05-19,803964.0,-0.004154233074759047,803964.0,0.01144507133675825,-1.0
2016-05-20,101738.0,0.01144507133675825,101738.0,-0.0038071131519275842,1.0
2016-05-23,129549.0,-0.0038071131519275842,129549.0,0.01082807118371113,1.0
2016-05-24,400449.0,0.01082807118371113,400449.0,0.012707404630967105,1.0
2016-05-25,681800.0,0.012707404630967105,681800.0,0.01524423121488079,1.0
2016-05-26,808424.0,0.01524423121488079,808424.0,0.017568960101072718,1.0
2016-05-27,2949.0,0.017568960101072718,2949.0,0.007930143482699801,-1.0
2016-05-31,-54774.0,0.007930143482699801,-54774.0,-0.00059760169106462,-1.0
2016-06-01,-308360.0,-0.00059760169106462,-308360.0,-0.004882888602094947,-1.0
2016-06-02,-75149.0,-0.004882888602094947,-75149.0,-0.014019642672962102,-1.0
2016-06-03,260203.0,-0.014019642672962102,260203.0,-0.007515720806930522,1.0
2016-06-06,224657.0,-0.007515720806930522,224657.0,0.002046632682601889,1.0
2016-06-07,150561.0,0.002046632682601889,150561.0,0.0072508077793023065,1.0
2016-06-08,-79701.0,0.0072508077793023065,-79701.0,0.004055576771954584,-1.0
2016-06-09,0.0,0.004055576771954584,0.0,-0.0009087785418557387,1.0
2016-06-10,0.0,-0.0009087785418557387,0.0,0.00717605687237706,-1.0
2016-06-13,0.0,0.00717605687237706,0.0,-0.008228797614330858,-1.0
2016-06-14,0.0,-0.008228797614330858,0.0,-0.015076449110171603,1.0
2016-06-15,50681.0,-0.015076449110171603,50681.0,0.0012328205372586286,-1.0
